surname,surname_latin,n
Клюндт,Klûndt,8
Кофаль,Kofalʹ,8
Кнауц,Knauc,8
Лебзак,Lebzak,8
Лебедев,Lebedev,8
Кеппель,Keppelʹ,8
Мелленберг,Mellenberg,8
Кейнер,Kejner,8
Лейер,Lejer,8
Лель,Lelʹ,8
Кесслер,Kessler,8
Лессер,Lesser,8
Кехтер,Kehter,8
Лабер,Laber,8
Кадах,Kadah,8
Каздорф,Kazdorf,8
Карле,Karle,8
Маркштедер,Markšteder,8
Ламбрехт,Lambreht,8
Лайер,Lajer,8
Каль,Kalʹ,8
Кальденберг,Kalʹdenberg,8
Кашинская,Kašinskaâ,8
Орт,Ort,8
Ольденбург,Olʹdenburg,8
Ной,Noj,8
Егель,Egelʹ,8
Соколов,Sokolov,8
Сакс,Saks,8
Узингер,Uzinger,8
Урбан,Urban,8
Фрейман,Frejman,8
Флейман,Flejman,8
Ульбрих,Ulʹbrih,8
Фохтбергер,Fohtberger,8
Фелькер,Felʹker,8
Ценер,Cener,8
Файт,Fajt,8
Фальк,Falʹk,8
Цанг,Cang,8
Фау,Fau,8
Адэ,Adé,8
Арльд,Arlʹd,8
Арцих,Arcih,8
Шрейбер,Šrejber,8
Шмидке,Šmidke,8
Шлее,Šlee,8
Шенбергер,Šenberger,8
Шеслер,Šesler,8
Штромбергер,Štromberger,8
Штейнер,Štejner,8
Шадт,Šadt,8
Шатц,Šatc,8
Ян,Ân,8
Янцер,Âncer,8
Эйхлер,Éjhler,8
Энграф,Éngraf,8
Энгельгард,Éngelʹgard,8
Энгельгардт,Éngelʹgardt,8
Диде,Dide,7
Гидт,Gidt,7
Дирксен,Dirksen,7
Вирт,Virt,7
Вирц,Virc,7
Биллер,Biller,7
Биль,Bilʹ,7
Гильц,Gilʹc,7
Гильфер,Gilʹfer,7
Диетц,Dietc,7
Дитлер,Ditler,7
Дитерле,Diterle,7
Витт,Vitt,7
Гисс,Giss,7
Дишке,Diške,7
Брикман,Brikman,7
Бритнер,Britner,7
Брейзе,Brejze,7
Грамс,Grams,7
Дорн,Dorn,7
Боос,Boos,7
