date_ym,ETHNIC_BEL,ETHNIC_UKR,ETHNIC_GER,ETHNIC_POL,ETHNIC_ARMENIAN,ETHNIC_GREEK,ETHNIC_JEWISH,ETHNIC_KABARDIN,ETHNIC_KALMYK,ETHNIC_CHINESE,ETHNIC_KOREAN,ETHNIC_LATVIAN,ETHNIC_LITHUANIAN,ETHNIC_OSSETIAN,ETHNIC_ESTONIAN,ETHNIC_TATAR,ETHNIC_CHECHEN,n
1920-6-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1920-6-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
1920-6-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1920-6-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1920-6-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1920-6-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38
1920-6-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-6-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1920-6-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1920-7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925
1920-7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1920-7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1920-7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1920-7-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
1920-7-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
1920-7-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1920-7-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
1920-7-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
1920-7-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1920-7-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1920-7-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1920-7-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1920-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070
1920-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
1920-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1920-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
1920-8-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
1920-8-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
1920-8-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1920-8-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1920-8-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
1920-8-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1920-8-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
1920-8-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1920-8-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1920-8-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1920-8-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1920-9-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065
1920-9-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1920-9-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
1920-9-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
1920-9-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1920-9-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1920-9-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1920-9-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1920-9-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10
1920-9-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1920-9-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
1920-9-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1920-9-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1920-9-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1921-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
1921-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1921-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1921-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1921-1-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1921-1-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1921-1-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1921-1-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1921-1-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1921-1-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
